N,Np,Nc,M,runs,mean_seconds,stdev_seconds
1,1,1,100000,10,7.095563710,0.554255675
1,1,2,100000,10,7.083140063,0.707144903
1,1,4,100000,10,8.216142020,0.889610104
1,1,8,100000,10,7.015201825,0.620307263
1,2,1,100000,10,7.001460348,0.658529162
1,4,1,100000,10,7.209190642,0.593196342
1,8,1,100000,10,7.185527102,0.610567246
10,1,1,100000,10,0.697762806,0.077414884
10,1,2,100000,10,0.407554760,0.022119136
10,1,4,100000,10,2.174153182,0.153319859
10,1,8,100000,10,1.941790809,0.042358637
10,2,1,100000,10,0.450493787,0.038273948
10,4,1,100000,10,2.182326683,0.182223775
10,8,1,100000,10,2.397167304,0.195139597
100,1,1,100000,10,0.123164081,0.016680356
100,1,2,100000,10,0.097083653,0.019028045
100,1,4,100000,10,2.051808886,0.182414256
100,1,8,100000,10,1.962519398,0.084447994
100,2,1,100000,10,0.285304271,0.030327038
100,4,1,100000,10,2.190837679,0.219038267
100,8,1,100000,10,2.263297410,0.161820225
1000,1,1,100000,10,0.106058443,0.024102814
1000,1,2,100000,10,0.053733531,0.012537420
1000,1,4,100000,10,2.003864463,0.213819335
1000,1,8,100000,10,2.151278757,0.184663855
1000,2,1,100000,10,0.281365778,0.045428815
1000,4,1,100000,10,2.060138418,0.198370202
1000,8,1,100000,10,2.298544529,0.160100225
