N,Np,Nc,repetition,M,seconds,primes
1,1,1,1,100000,6.144540064,6610
1,1,1,2,100000,7.385726019,6709
1,1,1,3,100000,6.539103085,6615
1,1,1,4,100000,6.851867357,6686
1,1,1,5,100000,7.399517383,6606
1,1,1,6,100000,7.420600773,6631
1,1,1,7,100000,6.850469875,6573
1,1,1,8,100000,7.963969315,6671
1,1,1,9,100000,6.768007074,6675
1,1,1,10,100000,7.631836159,6465
1,1,2,1,100000,7.256444514,6711
1,1,2,2,100000,6.747844893,6624
1,1,2,3,100000,7.945746054,6659
1,1,2,4,100000,7.504345244,6546
1,1,2,5,100000,6.396444679,6623
1,1,2,6,100000,6.329197976,6624
1,1,2,7,100000,8.026403614,6781
1,1,2,8,100000,7.833023890,6589
1,1,2,9,100000,6.389572873,6591
1,1,2,10,100000,6.402376894,6599
1,1,4,1,100000,8.877397948,6681
1,1,4,2,100000,9.300445092,6623
1,1,4,3,100000,8.829556563,6651
1,1,4,4,100000,8.564951529,6535
1,1,4,5,100000,8.654265050,6636
1,1,4,6,100000,8.545404828,6633
1,1,4,7,100000,8.040956812,6684
1,1,4,8,100000,7.015357098,6581
1,1,4,9,100000,7.886083963,6716
1,1,4,10,100000,6.447001320,6633
1,1,8,1,100000,7.385722733,6664
1,1,8,2,100000,7.778779548,6746
1,1,8,3,100000,6.467513561,6749
1,1,8,4,100000,6.566426368,6699
1,1,8,5,100000,6.476062422,6541
1,1,8,6,100000,6.720257389,6684
1,1,8,7,100000,6.475057478,6589
1,1,8,8,100000,7.117403926,6464
1,1,8,9,100000,6.904885417,6641
1,1,8,10,100000,8.259909408,6731
1,2,1,1,100000,7.322881416,6511
1,2,1,2,100000,6.403286095,6599
1,2,1,3,100000,7.280279921,6608
1,2,1,4,100000,7.103337410,6643
1,2,1,5,100000,7.542489997,6661
1,2,1,6,100000,6.836590107,6628
1,2,1,7,100000,6.417849018,6731
1,2,1,8,100000,6.296434996,6593
1,2,1,9,100000,6.438959192,6630
1,2,1,10,100000,8.372495331,6642
